36,38.84
36.1,38.7
36.2,38.55
36.3,38.41
36.4,38.27
36.5,38.13
36.6,37.98
36.7,37.84
36.8,37.7
36.9,37.56
37,37.42
37.1,37.27
37.2,37.13
37.3,36.99
37.4,36.85
37.5,36.71
37.6,36.57
37.7,36.43
37.8,36.29
37.9,36.15
38,36.01
38.1,35.87
38.2,35.73
38.3,35.59
38.4,35.46
38.5,35.32
38.6,35.18
38.7,35.04
38.8,34.9
38.9,34.77
39,34.63
39.1,34.49
39.2,34.36
39.3,34.22
39.4,34.08
39.5,33.95
39.6,33.81
39.7,33.68
39.8,33.54
39.9,33.41
40,33.27
40.1,33.14
40.2,33
40.3,32.87
40.4,32.74
40.5,32.6
40.6,32.47
40.7,32.34
40.8,32.2
40.9,32.07
41,31.94
41.1,31.81
41.2,31.67
41.3,31.54
41.4,31.41
41.5,31.28
41.6,31.15
41.7,31.02
41.8,30.89
41.9,30.76
42,30.63
42.1,30.5
42.2,30.37
42.3,30.24
42.4,30.11
42.5,29.98
42.6,29.85
42.7,29.72
42.8,29.6
42.9,29.47
43,29.34
43.1,29.21
43.2,29.09
43.3,28.96
43.4,28.83
43.5,28.71
43.6,28.58
43.7,28.46
43.8,28.33
43.9,28.2
44,28.08
44.1,27.96
44.2,27.83
44.3,27.71
44.4,27.58
44.5,27.46
44.6,27.34
44.7,27.21
44.8,27.09
44.9,26.97
45,26.84
45.1,26.72
45.2,26.6
45.3,26.48
45.4,26.36
45.5,26.24
45.6,26.11
45.7,25.99
45.8,25.87
45.9,25.75
46,25.63
46.1,25.51
46.2,25.39
46.3,25.28
46.4,25.16
46.5,25.04
46.6,24.92
46.7,24.8
46.8,24.68
46.9,24.57
47,24.45
47.1,24.33
47.2,24.22
47.3,24.1
47.4,23.98
47.5,23.87
47.6,23.75
47.7,23.64
47.8,23.52
47.9,23.41
48,23.29
48.1,23.18
48.2,23.06
48.3,22.95
48.4,22.84
48.5,22.72
48.6,22.61
48.7,22.5
48.8,22.38
48.9,22.27
49,22.16
49.1,22.05
49.2,21.94
49.3,21.83
49.4,21.72
49.5,21.6
49.6,21.49
49.7,21.38
49.8,21.27
49.9,21.17
50,21.06
50.1,20.95
50.2,20.84
50.3,20.73
50.4,20.62
50.5,20.51
50.6,20.41
50.7,20.3
50.8,20.19
50.9,20.09
51,19.98
51.1,19.87
51.2,19.77
51.3,19.66
51.4,19.56
51.5,19.45
51.6,19.35
51.7,19.24
51.8,19.14
51.9,19.03
52,18.93
52.1,18.83
52.2,18.72
52.3,18.62
52.4,18.52
52.5,18.42
52.6,18.31
52.7,18.21
52.8,18.11
52.9,18.01
53,17.91
53.1,17.81
53.2,17.71
53.3,17.61
53.4,17.51
53.5,17.41
53.6,17.31
53.7,17.21
53.8,17.11
53.9,17.01
54,16.92
54.1,16.82
54.2,16.72
54.3,16.62
54.4,16.53
54.5,16.43
54.6,16.34
54.7,16.24
54.8,16.14
54.9,16.05
55,15.95
55.1,15.86
55.2,15.76
55.3,15.67
55.4,15.58
55.5,15.48
55.6,15.39
55.7,15.3
55.8,15.2
55.9,15.11
56,15.02
56.1,14.93
56.2,14.83
56.3,14.74
56.4,14.65
56.5,14.56
56.6,14.47
56.7,14.38
56.8,14.29
56.9,14.2
57,14.11
57.1,14.02
57.2,13.93
57.3,13.85
57.4,13.76
57.5,13.67
57.6,13.58
57.7,13.49
57.8,13.41
57.9,13.32
58,13.23
58.1,13.15
58.2,13.06
58.3,12.98
58.4,12.89
58.5,12.81
58.6,12.72
58.7,12.64
58.8,12.55
58.9,12.47
59,12.39
59.1,12.3
59.2,12.22
59.3,12.14
59.4,12.06
59.5,11.97
59.6,11.89
59.7,11.81
59.8,11.73
59.9,11.65
60,11.57
60.1,11.49
60.2,11.41
60.3,11.33
60.4,11.25
60.5,11.17
60.6,11.09
60.7,11.01
60.8,10.94
60.9,10.86
61,10.78
61.1,10.7
61.2,10.63
61.3,10.55
61.4,10.47
61.5,10.4
61.6,10.32
61.7,10.25
61.8,10.17
61.9,10.1
62,10.02
62.1,9.95
62.2,9.88
62.3,9.8
62.4,9.73
62.5,9.66
62.6,9.58
62.7,9.51
62.8,9.44
62.9,9.37
63,9.3
63.1,9.23
63.2,9.16
63.3,9.08
63.4,9.01
63.5,8.94
63.6,8.88
63.7,8.81
63.8,8.74
63.9,8.67
64,8.6
64.1,8.53
64.2,8.46
64.3,8.4
64.4,8.33
64.5,8.26
64.6,8.2
64.7,8.13
64.8,8.06
64.9,8
65,7.93
65.1,7.87
65.2,7.8
65.3,7.74
65.4,7.68
65.5,7.61
65.6,7.55
65.7,7.49
65.8,7.42
65.9,7.36
66,7.3
66.1,7.24
66.2,7.18
66.3,7.11
66.4,7.05
66.5,6.99
66.6,6.93
66.7,6.87
66.8,6.81
66.9,6.75
67,6.69
67.1,6.64
67.2,6.58
67.3,6.52
67.4,6.46
67.5,6.4
67.6,6.35
67.7,6.29
67.8,6.23
67.9,6.18
68,6.12
68.1,6.07
68.2,6.01
68.3,5.95
68.4,5.9
68.5,5.85
68.6,5.79
68.7,5.74
68.8,5.68
68.9,5.63
69,5.58
69.1,5.53
69.2,5.47
69.3,5.42
69.4,5.37
69.5,5.32
69.6,5.27
69.7,5.22
69.8,5.17
69.9,5.12
70,5.07
70.1,5.02
70.2,4.97
70.3,4.92
70.4,4.87
70.5,4.82
70.6,4.78
70.7,4.73
70.8,4.68
70.9,4.63
71,4.59
71.1,4.54
71.2,4.5
71.3,4.45
71.4,4.4
71.5,4.36
71.6,4.32
71.7,4.27
71.8,4.23
71.9,4.18
72,4.14
72.1,4.1
